Date,Log_Return,ATR,Bollinger_High,Bollinger_Low,RSI,MACD,MACD_Signal,Stoch_K,Stoch_D,SMA_10,SMA_50,EMA_10,EMA_50,On_Balance_Volume,Actual_Target,Predicted_Target,Prediction_Probability,Adj_Close,Daily_Return,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Buy_Hold_Return
2023-06-28,0.006307944376085178,2.71596202277906,187.29015700789677,174.0087153675915,71.50770730106238,3.6317955797253774,3.520082533968475,94.7749671315753,88.62843009265738,183.43932342529297,173.10557159423828,183.31336370582054,173.73666085681364,18378375900,1,0,0.26,186.633544921875,0.006327881355618459,0.0,-0.044859957954033636,0.19731995365863209
2023-06-29,0.001794857248837069,2.601563452491367,187.87309310103058,174.6427165303171,72.02845909264883,3.6983596917472994,3.5557379655242403,94.91514198297354,95.56968565617994,183.99552307128906,173.56611328125,183.97799326729776,174.2555693053286,18424723200,1,0,0.26,186.9688262939453,0.0017964689692340219,0.0,-0.044859957954033636,0.19947090180162452
2023-06-30,0.022839813150148887,2.760195843371722,189.64510589437566,174.23951477212825,77.68661472190922,4.052937878368027,3.655177948092998,96.22506475565586,95.30505795673484,184.7805191040039,174.09019683837892,185.30713986607032,174.9235195114156,18509936400,0,0,0.25,191.28829956054688,0.023102638831409505,0.0,-0.044859957954033636,0.22718184483473247
2023-07-03,-0.007815150830529584,2.7187143384294123,190.75297901860623,174.266727707468,72.25986987343319,4.165763736693037,3.757295105813006,83.78817545661788,91.64279406508236,185.5240966796875,174.60380096435546,186.1238742680845,175.50687871007182,18478478200,0,0,0.24,189.79917907714844,-0.007784691937873123,-0.0,-0.044859957954033636,0.2176286122209432
2023-07-05,-0.0058887481154311465,2.6907613576477774,191.35803001574052,174.82043372937667,68.408650273078,4.1177893552906255,3.82939395570853,74.71900035816374,84.91074685681245,186.14735717773436,175.12722198486327,186.58949420762312,176.02365930714927,18431557900,1,0,0.24,188.68478393554688,-0.005871443422569178,-0.0,-0.044859957954033636,0.21047937471458655
2023-07-06,0.0025055829781929985,2.6972083687927904,191.84153716306196,175.57950318117634,69.16052150755002,4.071036979260668,3.8777225604189582,77.54398776004064,78.68372119160738,186.92149963378907,175.65400451660156,187.0565210952996,176.53873706333337,18476652200,0,0,0.24,189.15814208984375,0.0025087245745187836,0.0,-0.044859957954033636,0.21351613406888115
2023-07-07,-0.005908601246527864,2.6757218572695605,191.71480624721056,176.97445461704723,65.22492117593092,3.8991188573292277,3.8820018198010127,68.0402944297613,73.4344275159885,187.28441619873047,176.18922607421874,187.2360222535761,176.98991511833285,18429837200,0,0,0.3,188.0437774658203,-0.0058911797912148955,-0.0,-0.044859957954033636,0.20636709234354123
2023-07-10,-0.01091524122246807,2.741004811170165,191.55100424862056,177.9311414422974,58.6416666463411,3.5571454944611105,3.8170305547330328,50.63067237203116,65.40498485394431,187.4747512817383,176.68381622314453,187.0117265038137,177.3433457266289,18369915000,0,0,0.38,186.0023956298828,-0.010855886131667103,-0.0,-0.044859957954033636,0.19327090855606932
2023-07-11,-0.002813833136948625,2.7354093857755792,191.2643674620661,178.9199388733831,57.053927788273654,3.2069879731799347,3.6950220384224135,46.17338020913146,54.94811567030792,187.75186767578126,177.07636596679689,186.73318560983193,177.66242046624797,18323276900,1,0,0.42,185.47975158691406,-0.0028098780190376482,-0.0,-0.044859957954033636,0.18991796285936058
2023-07-12,0.008945276612995608,2.795017323650967,191.35681515798015,179.41722659006675,60.70732747122462,3.0290501664921976,3.5618276640363704,56.429435929248704,51.07782950347039,187.9205062866211,177.47723388671875,186.8083086452602,178.03433975402993,18384027100,1,0,0.43,187.1463623046875,0.008985405164253057,0.0,-0.044859957954033636,0.20060985786787455
